,blue1,blue2,bluescore,red1,red2,redscore
8367,5515B,5515A,7,1009A,2011E,32
8368,2011B,59822A,9,44012A,44691X,20
8369,44012E,2011G,8,2011D,5515C,23
8370,2011E,2971B,16,44691A,44691T,16
8371,77999A,2971A,8,5515A,2011C,27
8372,2011F,5515D,25,1009A,44012D,8
8373,2971C,44691B,15,44012B,2011A,22
8374,2011G,44691X,18,5515B,44691A,13
8375,5515A,5515D,0,59822A,2011D,28
8376,1009A,2011A,22,2971B,44691B,11
8377,44012E,2011F,22,2011B,2971C,18
8378,2011E,2011C,27,44012A,44012B,6
8379,5515B,5515C,21,44012D,77999A,15
8380,2971C,2011G,20,44691T,2971A,16
8381,5515B,5515D,0,2011F,2011G,27
8382,44012D,1009A,13,44691X,44691A,23
8383,59822A,2971A,1,2011C,2011A,34
8384,2971B,2011E,13,2011D,2011B,16
8385,44691X,44691A,15,2011F,2011G,21
8386,2011D,2011B,0,2011C,2011A,36
8387,2011C,2011A,23,2011F,2011G,10
8388,1166X,80504F,4,1826T,974Z,19
8389,99751A,9019H,17,9019R,1069C,13
8390,97445Z,1069B,8,99751C,3946W,24
8391,173B,173A,10,3946R,3946X,17
8392,173C,99751D,18,99751B,1826X,13
8393,1069F,80504W,16,97445X,53336A,9
8394,3946E,1826Z,11,3946A,1069E,15
8395,1826T,97445Z,22,173C,173A,7
8396,3946R,1826X,5,53336A,1069B,26
8397,9019R,974Z,11,1826Z,99751B,11
8398,1069E,99751A,19,1166X,173B,7
8399,3946A,3946X,20,80504W,80504F,11
8400,97445X,99751C,7,9019H,3946E,23
8401,3946W,1069C,20,1069F,99751D,5
8402,1069B,3946A,14,99751A,1826T,12
8403,173C,1069E,6,9019H,3946R,16
8404,80504W,9019R,19,1166X,99751D,12
8405,3946E,3946W,21,173A,974Z,14
8406,53336A,99751B,16,3946X,1069C,19
8407,1826Z,80504F,26,97445X,97445Z,2
8408,1069F,173B,5,99751C,1826X,24
8409,974Z,99751A,32,80504W,173C,1
8410,1166X,53336A,7,97445Z,3946E,26
8411,9019H,80504F,5,173B,3946W,20
8412,3946R,99751B,7,99751C,3946A,16
8413,1069E,1826T,13,9019R,1069F,18
8414,3946X,99751D,15,1826Z,1069B,22
8415,97445X,173A,0,1826X,1069C,35
8416,1069F,3946R,3,99751A,3946E,26
8417,80504W,1826T,11,99751B,3946W,27
8418,99751D,3946A,17,173A,9019H,19
8419,1826X,3946X,24,97445Z,9019R,13
8420,97445X,173B,8,974Z,1069B,24
8421,1069C,1166X,21,1826Z,173C,19
8422,99751C,53336A,16,1069E,80504F,10
8423,1069E,1069F,11,1826X,1826T,15
8424,173C,173B,8,99751A,1069B,26
8425,3946R,80504F,13,99751C,99751B,12
8426,80504W,97445Z,6,974Z,1826Z,22
8427,173A,97445X,8,1069C,1166X,23
8428,53336A,99751D,4,9019H,9019R,27
8429,1826X,1826T,10,3946W,3946E,13
8430,3946R,80504F,1,99751A,1069B,35
8431,974Z,1826Z,17,3946X,3946A,16
8432,9019H,9019R,20,1069C,1166X,12
8433,99751A,1069B,5,3946W,3946E,29
8434,9019H,9019R,9,974Z,1826Z,24
8435,974Z,1826Z,7,3946W,3946E,28
8436,675A,2105A,33,265S,1356X,3
8437,675G,109A,11,5278C,675E,16
8438,1235E,98881A,19,1264E,95S,14
8439,265T,30047G,4,675C,1961U,22
8440,95T,675D,11,1320C,675B,17
8441,1958A,1320A,32,109X,4495A,3
8442,383C,4495C,30,1264C,1368A,5
8443,3536M,3142A,19,5278B,1320E,14
8444,7019B,675F,11,1275E,3536P,25
8445,109Z,5278A,17,5203P,2105C,14
8446,98881B,1356A,9,1961X,109Y,25
8447,1356B,95M,6,5203R,5203S,23
8448,1275A,383T,25,1356C,1275B,13
8449,1961K,1961Z,22,1961A,2105B,9
8450,1264D,1320B,11,1320D,1958B,24
8451,675C,1368A,11,3142A,675F,21
8452,1961U,675B,24,1235E,3536M,3
8453,3536P,675G,19,1958A,265T,17
8454,1320C,1320E,17,1356B,4495C,19
8455,675E,1356C,12,5278A,7019B,16
8456,4495A,95S,10,95T,265S,10
8457,1958B,5203R,27,675A,98881B,7
8458,5278C,1264C,18,98881A,95M,14
8459,5278B,1275B,14,1356A,1961K,21
8460,1961A,1264D,16,383T,109Z,19
8461,1275E,1961Z,11,1275A,675D,24
8462,2105B,1320D,7,383C,2105A,23
8463,2105C,109Y,16,1356X,5203S,14
8464,5203P,109A,9,1320A,30047G,20
8465,1264E,1961X,5,109X,1320B,21
8466,3536M,1275B,16,675G,675F,15
8467,1356A,7019B,13,383T,95T,13
8468,1235E,1958B,7,1275A,1356B,23
8469,1958A,5278A,24,1320E,95M,7
8470,4495C,109Z,15,5278C,3142A,19
8471,1320D,1320C,36,30047G,1275E,0
8472,1356C,675C,11,109A,675A,17
8473,675E,5203S,20,1264D,1320A,13
8474,1356X,1961U,25,98881B,3536P,5
8475,1264C,2105B,4,2105C,1264E,28
8476,265S,1961K,10,675B,265T,29
8477,1961A,5203P,17,1320B,1368A,13
8478,109X,95S,15,1961Z,383C,23
8479,98881A,109Y,11,5203R,2105A,17
8480,4495A,675D,19,5278B,1961X,14
8481,95T,5278C,12,5278A,1275E,23
8482,1264E,675A,19,675E,1275B,16
8483,1356X,30047G,9,1356A,1356B,27
8484,98881B,1958A,16,1961A,4495C,16
8485,3536P,1958B,21,95S,1264C,19
8486,1961K,3536M,15,1356C,98881A,17
8487,95M,675B,14,2105B,109X,18
8488,2105C,5278B,24,1235E,675F,5
8489,1961X,1275A,24,1320E,265S,12
8490,383C,1320B,7,4495A,675G,23
8491,383T,2105A,13,1961Z,1320A,16
8492,109Z,5203R,27,7019B,675C,10
8493,1320D,109Y,17,675D,109A,19
8494,1368A,5203S,11,1961U,1320C,24
8495,3142A,265T,24,5203P,1264D,9
8496,2105C,1961X,20,1961K,95T,9
8497,383C,1275A,15,675E,1958A,26
8498,4495A,3536P,23,2105A,4495C,9
8499,1320A,265S,17,675C,98881A,15
8500,1275E,1961A,15,95M,1235E,10
8501,675F,109A,11,109Z,1958B,22
8502,383T,1356B,13,1264C,1961U,18
8503,109X,675G,12,1368A,1264D,21
8504,5278B,675B,18,109Y,1961Z,13
8505,5278C,1356X,3,1320D,5203P,22
8506,5203S,7019B,15,675A,2105B,13
8507,3142A,1275B,16,5278A,98881B,18
8508,1320E,30047G,21,675D,1264E,11
8509,1356C,1356A,7,5203R,1320B,25
8510,1320C,95S,13,3536M,265T,12
8511,109X,4495C,17,265S,675E,15
8512,1264D,95T,21,5278B,1958A,17
8513,675F,1264C,8,5203S,1275A,22
8514,675C,1356B,19,1275E,5203P,14
8515,383C,1961X,27,30047G,383T,14
8516,5203R,1235E,24,3536P,2105B,7
8517,1368A,1961K,10,1958B,1356X,29
8518,1320B,2105A,18,5278C,1320C,20
8519,95M,265T,19,109Y,1356C,14
8520,675G,3142A,2,1320D,675B,27
8521,98881A,98881B,13,109Z,4495A,23
8522,1320E,1961U,32,109A,1275B,0
8523,7019B,1961A,12,95S,2105C,14
8524,5278A,675D,12,1320A,675A,20
8525,1961Z,1264E,16,1356A,3536M,14
8526,675E,675D,6,1961U,1961X,26
8527,1958B,1275E,10,675B,675A,23
8528,3536P,1958A,8,1275A,1320B,31
8529,3142A,383C,6,1320A,109A,24
8530,4495C,1356X,17,5203R,5203S,18
8531,2105C,2105A,18,1961Z,1961A,16
8532,5278C,1264D,11,109Z,1320C,21
8533,4495A,1356B,6,5278A,1320D,26
8534,675B,675A,16,1961U,1961X,15
8535,1320A,109A,15,1275A,1320B,21
8536,2105C,2105A,2,5203R,5203S,33
8537,5278A,1320D,12,109Z,1320C,26
8538,1275A,1320B,25,675B,675A,15
8539,109Z,1320C,14,5203R,5203S,13
8540,109Z,1320C,16,1275A,1320B,18
8541,33639E,6390F,7,33639B,8609A,12
8542,6390G,6390N,18,6390X,6403V,12
8543,44287B,33639C,24,33639A,44287C,4
8544,33639D,8609C,15,6390W,8609B,14
8545,6390A,44287A,12,6390K,6403H,13
8546,6390F,44287B,8,6390G,33639D,13
8547,44287C,8609C,19,44287A,33639E,4
8548,6403V,8609B,28,6390A,33639C,5
8549,8609A,6390W,14,6390N,6390K,13
8550,33639B,33639A,12,6403H,6390X,11
8551,6390W,6390A,17,44287B,33639E,12
8552,6390X,33639D,1,8609A,44287A,26
8553,6390K,6403V,21,6390F,44287C,2
8554,33639B,8609B,30,33639A,6390N,2
8555,6403H,33639C,21,8609C,6390G,5
8556,44287A,6390N,13,44287B,6403V,15
8557,6390X,8609C,17,6390A,6390F,6
8558,8609A,44287C,14,8609B,6403H,16
8559,6390K,33639D,10,33639C,33639B,19
8560,33639A,33639E,5,6390W,6390G,17
8561,8609B,6390X,15,44287B,6390K,9
8562,6403H,6390N,25,33639D,33639E,0
8563,6403V,8609A,9,8609C,33639A,17
8564,6390G,6390A,8,33639B,44287C,15
8565,6390F,6390W,6,44287A,33639C,13
8566,44287C,44287B,11,33639B,6403V,22
8567,6403H,6390G,18,8609B,6390W,9
8568,44287A,33639A,11,8609C,6390K,21
8569,6390N,6390X,11,33639C,8609A,14
8570,6403H,6390G,9,33639B,6403V,18
8571,33639C,8609A,14,8609C,6390K,0
8572,33639C,8609A,16,33639B,6403V,9
8573,1617A,1617E,4,1617D,41998A,24
8574,41998C,565U,20,9551B,9551D,12
8575,5689C,41998E,7,9551C,9551E,8
8576,9551A,5689A,12,5689B,41998D,16
8577,5689D,41998G,9,1617C,41998B,24
8578,9551F,41998C,16,41998F,1617F,8
8579,5689B,9551C,20,5689A,1617E,13
8580,41998B,9551B,17,9551E,1617F,6
8581,41998G,9551F,9,9551A,41998E,14
8582,9551D,41998F,12,5689D,41998D,7
8583,1617C,1617D,18,565U,5689C,8
8584,5689A,9551D,18,41998A,1617A,5
8585,1617E,565U,5,5689D,5689C,22
8586,41998B,41998E,18,1617A,1617C,5
8587,9551B,9551C,15,41998C,9551A,12
8588,1617F,41998D,4,1617D,9551F,21
8589,9551E,41998A,20,41998G,41998F,8
8590,5689C,9551D,7,5689B,41998B,24
8591,9551F,5689D,8,5689A,9551C,17
8592,41998D,1617D,7,41998E,9551E,22
8593,5689B,1617A,14,9551B,41998G,15
8594,41998A,1617F,5,565U,9551A,13
8595,41998F,1617C,17,1617E,41998C,15
8596,9551C,1617D,25,9551D,41998G,4
8597,5689D,9551E,18,1617A,9551F,7
8598,41998C,5689C,22,1617F,5689A,6
8599,41998E,5689B,19,565U,41998F,18
8600,9551B,41998D,17,1617C,1617E,11
8601,9551A,9551C,14,41998B,41998A,12
8602,5689A,41998G,7,9551E,565U,17
8603,41998B,1617A,20,41998C,41998D,2
8604,1617E,1617F,4,41998E,9551D,24
8605,9551A,5689D,22,9551B,1617D,11
8606,41998A,1617C,9,5689B,9551F,12
8607,1617A,9551A,11,5689C,41998F,14
8608,565U,9551F,16,41998B,1617E,18
8609,9551E,5689B,14,1617D,41998C,15
8610,41998F,9551B,15,41998E,5689A,14
8611,1617C,1617F,2,9551C,5689D,23
8612,41998D,41998G,7,41998A,5689C,26
8613,1617C,565U,11,9551F,1617A,10
8614,9551D,41998G,11,9551A,41998F,11
8615,9551D,41998G,10,9551A,41998F,20
8616,41998D,1617E,13,5689C,41998A,27
8617,1617C,565U,4,9551C,5689D,23
8618,41998C,5689A,14,9551B,1617D,10
8619,9551A,41998F,8,41998B,5689B,21
8620,5689C,41998A,14,41998E,9551E,11
8621,41998C,5689A,8,9551C,5689D,18
8622,5689C,41998A,13,41998B,5689B,18
8623,41998B,5689B,21,9551C,5689D,9
8624,9364D,21733C,6,21733A,3073G,21
8625,3073S,3631B,14,3631A,2807B,4
8626,68000A,99905C,8,99905X,99331M,11
8627,2775E,28646A,5,99905B,3631Z,16
8628,61004A,68001B,8,9364A,73973B,15
8629,2775B,56880A,17,21733B,2807A,9
8630,28646B,2807C,12,28646C,3631C,10
8631,9364C,99905A,19,99905E,3631D,8
8632,9364A,2807B,12,9364B,28646A,22
8633,3631A,3631Z,19,99905C,9364D,17
8634,21733B,99905B,14,2775B,2807C,22
8635,99331M,21733C,11,68001B,9364C,9
8636,3631D,28646C,9,56880A,99905X,19
8637,21733A,3631C,10,2775E,61004A,18
8638,73973B,3073G,26,68000A,99905E,5
8639,9364B,2807A,18,99905A,3073S,12
8640,99905B,9364C,16,28646B,3631B,10
8641,3631D,21733B,11,9364D,9364A,25
8642,2775B,3631C,26,3073G,68001B,10
8643,3631A,28646C,12,73973B,2807A,18
8644,21733A,99331M,10,2807B,3631Z,13
8645,99905E,2775E,15,56880A,3073S,11
8646,2807C,68000A,14,21733C,28646A,9
8647,99905X,28646B,9,99905A,61004A,23
8648,9364B,3073G,30,99905C,3631B,7
8649,2807A,9364D,23,99905B,99905E,4
8650,3631Z,3073S,11,2807C,9364A,16
8651,3631D,2807B,1,68000A,2775B,25
8652,21733B,99905X,17,3631C,9364C,14
8653,56880A,3631A,8,21733A,9364B,16
8654,28646A,73973B,22,99331M,28646B,5
8655,99905A,99905C,22,2775E,68001B,3
8656,3631B,61004A,18,21733C,28646C,7
8657,99905X,2807C,14,3631D,21733A,8
8658,2807A,3073G,19,2807B,9364C,12
8659,73973B,99905B,19,56880A,99905C,11
8660,61004A,3073S,8,21733B,99331M,19
8661,68001B,68000A,5,9364D,28646C,24
8662,9364A,3631B,14,2775E,2775B,16
8663,99905E,28646B,5,3631Z,9364B,28
8664,21733C,99905A,14,3631C,3631A,18
8665,9364D,9364C,17,28646A,3073S,9
8666,99905C,2807B,3,2807C,61004A,11
8667,21733A,68001B,10,2807A,28646B,13
8668,9364A,3631C,3,99905A,99905B,21
8669,2775E,3631D,8,21733C,73973B,21
8670,2775B,28646C,19,9364B,99331M,12
8671,3073G,28646A,15,99905X,3631A,16
8672,3631Z,56880A,12,3631B,68000A,12
8673,21733C,2807B,12,21733B,99905E,14
8674,99905C,9364A,19,21733A,9364C,6
8675,99905B,28646C,7,3073G,3073S,25
8676,73973B,2807C,11,3631B,9364D,20
8677,3631Z,9364B,30,68001B,99905X,3
8678,99905E,3631A,11,2775B,61004A,23
8679,28646A,3631C,18,3631D,2807A,13
8680,68000A,28646B,7,2775E,21733B,14
8681,99331M,3073G,22,56880A,99905A,6
8682,99905C,28646B,11,2775B,73973B,21
8683,2775E,3073S,16,2807A,99331M,9
8684,68000A,21733C,0,3631Z,99905A,23
8685,28646A,99905E,5,3073G,9364A,27
8686,21733A,28646C,10,2807C,3631A,20
8687,99905B,3631D,17,61004A,9364C,10
8688,56880A,2807B,5,9364B,9364D,31
8689,3631B,3631C,16,99905X,21733B,10
8690,2775E,3073S,6,2775B,73973B,17
8691,3073G,9364A,21,3631Z,99905A,9
8692,99905B,3631D,20,2807C,3631A,6
8693,3631B,3631C,7,9364B,9364D,17
8694,3073G,9364A,18,2775B,73973B,20
8695,9364B,9364D,29,99905B,3631D,4
8696,9364B,9364D,12,2775B,73973B,11
8697,97377A,14246D,17,44833C,6302W,11
8698,44833B,4810C,22,7749A,1181A,7
8699,6008C,6978J,13,6008B,6008H,20
8700,4805F,6978R,20,4810U,72726A,6
8701,1181B,4810D,18,6770B,44833D,7
8702,14246G,1181C,8,44817A,85321A,17
8703,8134A,6008A,29,4805A,87563A,4
8704,87563B,7749C,2,40938A,6770C,28
8705,44833E,598B,8,598A,6008E,25
8706,4810A,6978N,16,4810B,4805X,9
8707,4810N,78926W,12,6770A,6008D,24
8708,44833F,40938B,23,97377B,6302V,4
8709,1181C,4805F,18,14246E,14246B,13
8710,6770B,4805A,5,4810C,97377A,24
8711,7749A,44833E,13,6978J,14246D,14
8712,6008E,14246G,23,6978N,6008C,14
8713,44833C,6770C,10,44833B,4810A,7
8714,4810B,6978R,10,1181B,4810N,22
8715,598A,97377B,15,40938A,14246E,11
8716,1181A,44817A,21,87563B,78926W,13
8717,14246B,6770A,10,4810U,6302W,22
8718,85321A,6008H,22,7749C,40938B,5
8719,4805X,44833F,20,4810D,8134A,10
8720,44833D,72726A,5,6008A,6008B,28
8721,87563A,6302V,11,598B,6008D,23
8722,40938A,1181B,25,4805A,44833E,8
8723,44833C,44817A,9,4810N,4805F,18
8724,6302W,40938B,17,1181C,4810B,8
8725,8134A,97377B,4,44833B,87563B,15
8726,6770A,6008C,19,97377A,4810A,5
8727,7749A,44833D,8,7749C,598A,17
8728,598B,6008A,23,6978R,6770B,5
8729,14246B,6008H,16,6008E,4810C,11
8730,4810U,6008D,27,4805X,14246G,7
8731,14246E,6008B,32,44833F,6770C,4
8732,87563A,72726A,3,6978J,6978N,16
8733,4810D,1181A,5,14246D,85321A,14
8734,598A,4805A,22,78926W,6302V,11
8735,4810B,6008E,24,7749A,6770B,11
8736,6008H,44817A,13,6770A,6008A,22
8737,87563B,6008C,20,44833D,4805F,10
8738,40938A,6008B,30,8134A,14246G,7
8739,4810U,44833E,28,4810D,97377B,4
8740,6978R,44833C,15,40938B,1181A,20
8741,85321A,6978N,4,6008D,6770C,30
8742,4805X,6302V,15,97377A,14246E,21
8743,598B,7749C,9,1181C,1181B,22
8744,6302W,6978J,13,4810N,4810A,13
8745,78926W,14246D,10,4810C,72726A,23
8746,44833B,44833F,16,87563A,14246B,7
8747,4805A,6770A,9,6978R,6008E,23
8748,6978N,40938B,18,87563B,44833E,14
8749,6008D,598A,27,6008H,4805F,6
8750,4810N,85321A,7,4810U,6008A,25
8751,6302V,1181A,15,6978J,4810B,7
8752,6770C,8134A,13,7749A,44817A,7
8753,44833D,87563A,12,44833C,1181C,6
8754,6770B,14246D,15,44833B,4805X,13
8755,6302W,4810C,19,598B,97377B,12
8756,72726A,14246G,15,44833F,1181B,12
8757,7749C,14246E,10,6008C,78926W,28
8758,97377A,40938A,20,14246B,4810D,8
8759,4805F,4810A,11,87563A,6008B,18
8760,44817A,6978R,12,6008D,6008A,26
8761,6770C,44833F,8,14246D,14246G,17
8762,4805F,4805X,21,40938A,598B,12
8763,6770A,6978N,13,40938B,1181A,8
8764,44833B,14246B,3,6008B,6008E,30
8765,6302W,6978J,17,4810C,97377A,14
8766,85321A,14246E,5,598A,1181B,26
8767,6008C,6008H,11,4810U,4810N,11
8768,6008C,6008H,27,4810U,4810N,10
8769,14246D,14246G,4,6008D,6008A,33
8770,6770A,6978N,12,4805F,4805X,23
8771,6302W,6978J,2,6008B,6008E,25
8772,6008C,6008H,13,598A,1181B,23
8773,4805F,4805X,11,6008D,6008A,25
8774,598A,1181B,9,6008B,6008E,22
8775,6008B,6008E,11,6008D,6008A,25
8776,9364V,38127M,0,9364Y,2775J,37
8777,9364X,9364R,25,51175A,9364W,3
8778,29649A,29649E,3,29649C,99331U,32
8779,72183M,51174A,9,9364S,99331S,20
8780,9364V,29649A,23,29649B,38127M,7
8781,9364S,72183M,8,9364X,9364R,27
8782,51175A,99331U,5,51174A,2775J,30
8783,9364W,99331S,26,29649E,29649B,6
8784,51174A,9364X,16,9364Y,29649C,14
8785,38127M,9364R,11,72183M,29649A,10
8786,29649C,2775J,28,9364S,9364W,7
8787,9364Y,29649B,9,99331U,99331S,24
8788,51175A,51174A,5,29649E,9364V,25
8789,2775J,29649B,9,9364X,29649A,20
8790,29649E,9364Y,24,9364S,9364R,8
8791,99331U,9364W,16,72183M,9364V,12
8792,29649C,99331S,34,38127M,51175A,0
8793,29649E,9364V,16,72183M,9364X,19
8794,9364S,51175A,12,99331U,38127M,16
8795,2775J,9364R,25,9364Y,29649B,3
8796,29649A,99331S,23,51174A,9364W,9
8797,99331U,9364V,14,29649C,9364R,20
8798,9364X,38127M,22,51174A,29649E,6
8799,9364Y,9364W,29,29649A,9364S,5
8800,72183M,29649C,27,51175A,29649B,2
8801,99331U,9364X,13,99331S,2775J,14
8802,51175A,9364W,7,72183M,9364Y,26
8803,99331S,9364R,21,9364V,29649A,8
8804,9364S,29649B,7,51174A,29649C,24
8805,2775J,72183M,23,29649E,38127M,3
8806,29649A,72183M,4,9364X,9364S,21
8807,9364W,9364V,12,9364R,99331U,21
8808,9364X,9364S,12,99331S,29649C,20
8809,9364R,99331U,8,2775J,9364Y,19
8810,2775J,9364Y,24,99331S,29649C,12
8811,6216G,69922B,11,4458A,6216B,9
8812,2104A,6216C,4,1591B,44544A,28
8813,6216D,44544A,3,69922A,6493B,21
8814,4458A,1591B,6,69922B,6493B,14
8815,69922A,6216D,4,6216G,6216C,27
8816,6493B,4458A,8,6216B,2104A,12
8817,69922B,2104A,23,44544A,6216C,8
8818,6216B,1591B,28,6216D,69922A,8
8819,6216D,44544A,3,6216G,69922B,28
8820,6493B,6216G,7,2104A,1591B,19
8821,6216B,6216C,15,4458A,69922A,7
8822,44544A,4458A,12,6216D,2104A,14
8823,69922A,6493B,8,69922B,6216C,23
8824,1591B,44544A,22,6216B,6216G,4
8825,69922A,69922B,6,2104A,1591B,23
8826,6216C,4458A,13,6493B,6216D,21
8827,6216C,6493B,27,6216G,6216B,6
8828,1591B,6216G,25,44544A,4458A,7
8829,6216B,2104A,8,6216D,69922B,25
8830,6493B,6216B,16,69922A,44544A,12
8831,6216G,69922A,16,4458A,2104A,7
8832,69922B,6216D,12,1591B,6216C,25
8833,6216D,69922A,5,6216G,44544A,22
8834,6216G,44544A,6,1591B,69922B,22
8835,2104A,6216B,6,6216C,6493B,22
8836,6216C,6493B,8,1591B,69922B,22
8837,97424A,33356A,6,85771A,56272A,15
8838,85771A,56272A,19,84031A,35993A,9
8839,84031A,35993A,11,97424A,33356A,11
8840,56272A,33356A,10,35993A,85771A,18
8841,33356A,56272A,15,97424A,84031A,8
8842,84031A,35993A,20,85771A,97424A,11
8843,85771A,97424A,12,56272A,33356A,10
8844,56272A,97424A,12,35993A,84031A,11
8845,35993A,85771A,24,84031A,33356A,8
8846,33356A,35993A,11,56272A,97424A,14
8847,84031A,97424A,11,85771A,33356A,11
8848,85771A,84031A,13,56272A,35993A,19
8849,97424A,33356A,10,84031A,35993A,15
8850,84031A,33356A,2,85771A,56272A,25
8851,85771A,35993A,8,56272A,97424A,17
8852,97424A,85771A,9,56272A,35993A,24
8853,97424A,85771A,12,56272A,35993A,22
8854,90601E,90601X,7,9225D,90601F,22
8855,79190B,35125C,11,90601A,90601W,21
8856,90601B,90601U,22,35125D,9580A,7
8857,35125A,90601C,28,90601D,9580C,0
8858,9580B,79190A,7,35125B,9225A,20
8859,9580C,90601B,23,35125C,90601X,14
8860,90601F,9225A,17,35125A,35125B,14
8861,9580A,90601A,17,79190A,9580B,11
8862,9225D,90601D,22,90601W,35125D,11
8863,90601E,90601U,15,90601C,79190B,20
8864,9580A,9225A,18,90601X,90601D,12
8865,90601W,90601C,19,90601F,9580B,17
8866,90601A,9225D,24,90601U,9580C,14
8867,35125D,35125C,14,79190A,35125A,18
8868,35125B,79190B,12,90601E,90601B,19
8869,90601D,9580B,11,90601U,35125C,27
8870,90601X,35125B,14,90601A,35125D,12
8871,9580C,90601F,23,79190B,79190A,6
8872,9225D,9225A,23,90601B,90601C,9
8873,35125A,90601W,13,9580A,90601E,10
8874,90601A,90601F,14,90601D,90601B,14
8875,90601C,35125C,13,35125B,9580A,19
8876,79190A,90601W,9,90601X,90601U,22
8877,9580C,35125D,15,9225A,90601E,17
8878,35125A,9580B,20,9225D,79190B,9
8879,90601E,79190A,10,9225A,9225D,18
8880,90601C,90601D,20,90601F,90601B,12
8881,90601U,90601X,0,35125A,90601W,9
8882,9580A,9580C,8,90601A,35125B,22
8883,90601C,90601D,0,9225A,9225D,16
8884,90601A,35125B,19,35125A,90601W,0
8885,90601A,35125B,19,9225A,9225D,17
8886,75600K,76276A,14,43662A,75600J,9
8887,22187B,76276B,16,22187C,75600A,4
8888,76276C,75600K,17,75600E,22187A,11
8889,75600J,75600E,10,76276B,76276A,19
8890,43662A,75600A,9,22187C,22187A,15
8891,43662A,76276A,7,22187B,76276C,11
8892,22187C,22187B,10,75600K,75600E,15
8893,75600J,76276C,15,75600A,76276B,14
8894,22187A,76276B,17,43662A,75600K,12
8895,75600A,75600E,8,76276A,22187B,10
8896,22187A,22187C,21,76276C,75600J,8
8897,76276A,75600E,11,75600A,75600J,7
8898,76276C,43662A,18,22187A,22187B,12
8899,76276B,43662A,16,22187C,75600K,11
8900,75600J,22187C,11,76276A,22187A,18
8901,76276B,75600A,13,75600E,76276C,13
8902,22187A,75600E,10,22187B,75600K,12
8903,75600K,76276C,24,75600J,43662A,4
8904,22187B,22187C,7,76276B,76276A,13
8905,22187B,75600J,12,75600A,76276B,17
8906,22187A,43662A,10,22187C,75600E,15
8907,75600K,76276A,17,76276C,75600A,4
8908,22187B,75600J,12,22187A,75600A,16
8909,22187A,75600A,12,76276A,76276C,12
8910,22187A,75600A,9,76276A,76276C,23
8911,43662A,75600E,5,76276B,75600K,24
8912,76276B,75600K,20,76276A,76276C,10
8913,2131N,2131P,23,2131R,2131V,4
8914,2131S,2131K,11,2131M,2131T,14
8915,2131Z,2131F,17,2131Y,2131G,13
8916,2131R,2131M,28,2131H,2131F,8
8917,2131Y,2131H,20,2131N,2131S,10
8918,2131G,2131V,8,2131K,2131T,21
8919,2131T,2131H,11,2131Z,2131P,15
8920,2131H,2131Y,10,2131T,2131F,15
8921,2131T,2131F,10,2131N,2131G,16
8922,23035A,99905X,6,99331S,3631A,20
8923,3631C,99905A,15,99331U,3631B,9
8924,29649C,3631D,18,99331M,99905B,14
8925,3631X,99331S,9,3631V,3631Z,24
8926,3631A,3631V,27,99905A,3631D,5
8927,99905B,3631Z,19,3631B,23035A,7
8928,99331U,29649C,31,3631X,99905X,2
8929,99905X,3631V,14,3631C,99331M,16
8930,99905B,3631C,21,99331U,3631Z,16
8931,3631D,3631X,5,3631A,99331M,18
8932,99905B,3631C,6,29649C,3631V,25
8933,3631A,99331M,10,99331S,99905A,17
8934,99331S,99905A,8,29649C,3631V,16
8935,1961Z,3131V,8,4100A,169Y,27
8936,109Z,5245Y,22,6210Z,6260A,13
8937,550C,169X,9,45464Z,1320C,26
8938,7121A,6260X,9,910X,550Z,27
8939,4825C,33172C,8,33172A,8336Z,19
8940,4825A,70857B,12,7121D,727A,20
8941,6105C,70857A,22,1360A,77788J,10
8942,6210X,61300B,10,212B,7916A,17
8943,30656J,86868R,14,33172D,11342A,11
8944,77788G,169A,9,77788Y,25461Z,18
8945,67766A,169B,12,4411S,1533M,16
8946,3131B,448X,9,7121E,33172B,18
8947,7121B,109Z,6,22095A,550X,16
8948,7916A,33172A,3,1961Z,70857B,30
8949,6260A,212B,1,77788J,11342A,28
8950,33172D,910X,16,169A,33172C,16
8951,7121D,4411S,29,6260X,77788G,12
8952,1360A,30656J,8,5245Y,4825A,26
8953,45464Z,22095A,20,7121A,448X,13
8954,1533M,25461Z,25,3131V,7121B,8
8955,77788Y,1320C,34,6105C,727A,1
8956,4825C,4100A,8,169X,169B,28
8957,7121E,550Z,17,6210X,550X,13
8958,169Y,3131B,25,67766A,70857A,5
8959,6210Z,33172B,15,550C,61300B,22
8960,169A,1533M,5,86868R,8336Z,19
8961,727A,1961Z,9,109Z,45464Z,22
8962,77788Y,5245Y,12,7916A,33172C,4
8963,1360A,550X,6,1320C,70857B,29
8964,7121B,70857A,8,30656J,4411S,24
8965,550C,7121E,28,4825C,910X,5
8966,77788J,25461Z,15,86868R,22095A,21
8967,212B,7121D,21,7121A,4100A,15
8968,3131V,67766A,16,6260A,169X,7
8969,11342A,448X,17,6210X,33172A,11
8970,6105C,33172D,11,550Z,6210Z,18
8971,8336Z,33172B,4,169Y,77788G,22
8972,4825A,61300B,12,6260X,169B,24
8973,4411S,550X,30,3131B,212B,3
8974,7916A,7121A,21,30656J,727A,9
8975,22095A,70857B,16,169A,5245Y,16
8976,7121D,1533M,33,1360A,33172D,3
8977,6210X,1961Z,6,25461Z,33172B,22
8978,6260A,7121E,18,6105C,7121B,14
