,blue1,blue2,bluescore,red1,red2,redscore
144,2918H,2923B,17,4067B,3204D,8
145,2913A,88397S,8,4067A,2908X,13
146,2918C,2919S,19,2913C,47736R,17
147,9098F,4067X,7,45964A,2941C,12
148,2921R,7031A,15,3204E,70591B,23
149,8757A,2915G,7,2908E,2941B,22
150,5606B,2908V,11,43580A,2950B,22
151,2919A,2941A,9,70591A,2900A,18
152,7757Z,2900C,13,7682E,5606A,14
153,2903S,2915A,5,2900D,2900B,19
154,97255A,2941D,17,8757B,2903T,18
155,9098E,2919B,15,2904A,2921F,15
156,8757C,240P,19,2915D,2923A,13
157,2915B,2900G,10,2908V,2921R,23
158,2919S,3204D,12,2913A,5606B,16
159,7682E,47736R,29,9098F,2918G,12
160,2900A,2918C,27,2915A,7757Z,10
161,2900B,97255A,11,2941A,2918H,22
162,2950A,2903T,10,2923B,4067X,15
163,2900D,70591A,7,2921F,8757A,21
164,8757B,2950B,4,8757C,2904A,29
165,4067A,2908E,9,2915E,2915F,21
166,72721Y,2913C,15,70591B,2908X,11
167,4067B,2923A,18,7031A,5606A,10
168,43580A,2915D,10,2903S,2915G,16
169,2941B,240P,28,2919B,2941D,8
170,2900C,45964A,19,88397S,2913B,17
171,2941C,3204E,4,9098E,2919A,26
172,2915B,2923B,22,2919S,2900B,9
173,2921F,9098F,4,3204D,4067A,17
174,7031A,8757B,17,2915F,70591A,16
175,4067B,8757C,4,2900A,7682E,27
176,2941B,70591B,24,2918C,2950A,6
177,5606A,2908V,5,2900D,2941D,24
178,4067X,2919A,8,2915E,2921R,31
179,2919B,2915A,8,5606B,2900C,28
180,8757A,3204E,18,2900G,2915D,9
181,2904A,72721Y,8,2941C,2903T,17
182,2950B,47736R,17,2915G,2913B,10
183,9098E,2941A,19,88397S,2913C,11
184,2918H,2908E,9,240P,45964A,25
185,43580A,2918G,25,2913A,7757Z,4
186,2908X,2923A,6,2903S,97255A,17
187,4067B,8757B,7,2915B,2919A,26
188,5606B,2900D,21,72721Y,2923B,9
189,2900A,3204D,20,2915G,2915F,15
